event_name,date_and_time,description,location,cost,event_url
Permanent Resident (PR) Card Renewal – PRカード 更新 (Japanese),2025-03-05 10:00:00 - 2025-03-05 11:30:00,PR Card Renewal Eligibility​ How to Calculate Your Residence in Canada ​ Required Documents How to Complete the Paper and Online Application Form​,Online Webinar,Not Available,https://successbc.ca/event/permanent-resident-pr-card-renewalpr%e3%82%ab%e3%83%bc%e3%83%89-%e6%9b%b4%e6%96%b0-japanese-2/
Finding a Family Physician and Introducing Health Resources in Richmond 如何寻找家庭医生及列治文健康资源介绍 (Mandarin),2025-03-07,How to find a family doctor or nurse practitioner Diabetes and cancer patient support Mental health and counselling services Health support for older adults Overnight Respite Program Other community link services in Richmond,"Richmond Public Library – Brighouse (Main) Branch  100-7700 Minoru Gate Richmond, BC V6Y 1R8Canada",Not Available,https://successbc.ca/event/finding-a-family-physician-and-introducing-health-resources-in-richmond-%e5%a6%82%e4%bd%95%e5%af%bb%e6%89%be%e5%ae%b6%e5%ba%ad%e5%8c%bb%e7%94%9f%e5%8f%8a%e5%88%97%e6%b2%bb%e6%96%87%e5%81%a5%e5%ba%b7/
Ontario Office Information Session – ACCEP-IEHP,2025-03-11 10:00:00 - 2025-03-11 11:00:00,"Subsidized Work Experience Individualized Accreditation and Career Planning Career & Employment Readiness Training Canadian Workplace Culture & Equity, Diversity & Inclusion (EDI) Workshops Mental Health and Wellness Sessions One-on-One Support and Guidance Mentorship Opportunities",Not Available,Not Available,https://successbc.ca/event/ontario-information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-for/2025-03-11/
Information Session – Active Career Connect & Engagement Project for Internationally Educated Health Professionals (ACCEP-IEHP),2025-03-11,"Subsidized Work Experience Individualized Accreditation and Career Planning Career & Employment Readiness Training Canadian Workplace Culture & Equity, Diversity & Inclusion (EDI) Workshops Mental Health and Wellness Sessions One-on-One Support and Guidance Mentorship Opportunities",Online Webinar,Not Available,https://successbc.ca/event/information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-2025-01-14/2025-03-11/
Ontario Office Information Session – ACCEP-IEHP,2025-03-18,"Subsidized Work Experience Individualized Accreditation and Career Planning Career & Employment Readiness Training Canadian Workplace Culture & Equity, Diversity & Inclusion (EDI) Workshops Mental Health and Wellness Sessions One-on-One Support and Guidance Mentorship Opportunities",Not Available,Not Available,https://successbc.ca/event/ontario-information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-for/2025-03-18/
Information Session – Active Career Connect & Engagement Project for Internationally Educated Health Professionals (ACCEP-IEHP),2025-03-18 10:00:00 - 2025-03-18 11:00:00,"Subsidized Work Experience Individualized Accreditation and Career Planning Career & Employment Readiness Training Canadian Workplace Culture & Equity, Diversity & Inclusion (EDI) Workshops Mental Health and Wellness Sessions One-on-One Support and Guidance Mentorship Opportunities",Online Webinar,Not Available,https://successbc.ca/event/information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-2025-01-14/2025-03-18/
Ontario Office Information Session – ACCEP-IEHP,2025-03-25 10:00:00 - 2025-03-25 11:00:00,"Subsidized Work Experience Individualized Accreditation and Career Planning Career & Employment Readiness Training Canadian Workplace Culture & Equity, Diversity & Inclusion (EDI) Workshops Mental Health and Wellness Sessions One-on-One Support and Guidance Mentorship Opportunities",Not Available,Not Available,https://successbc.ca/event/ontario-information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-for/2025-03-25/
Information Session – Active Career Connect & Engagement Project for Internationally Educated Health Professionals (ACCEP-IEHP),2025-03-25 10:00:00 - 2025-03-25 11:00:00,"Subsidized Work Experience Individualized Accreditation and Career Planning Career & Employment Readiness Training Canadian Workplace Culture & Equity, Diversity & Inclusion (EDI) Workshops Mental Health and Wellness Sessions One-on-One Support and Guidance Mentorship Opportunities",Online Webinar,Not Available,https://successbc.ca/event/information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-2025-01-14/2025-03-25/
Information Session – Active Career Connect & Engagement Project for Internationally Educated Health Professionals (ACCEP-IEHP),2025-04-01 10:00:00 - 2025-04-01 11:00:00,"Subsidized Work Experience Individualized Accreditation and Career Planning Career & Employment Readiness Training Canadian Workplace Culture & Equity, Diversity & Inclusion (EDI) Workshops Mental Health and Wellness Sessions One-on-One Support and Guidance Mentorship Opportunities",Online Webinar,Not Available,https://successbc.ca/event/information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-2025-01-14/2025-04-01/
Information Session – Active Career Connect & Engagement Project for Internationally Educated Health Professionals (ACCEP-IEHP),2025-04-08 10:00:00 - 2025-04-08 11:00:00,Not Available,Online Webinar,Not Available,https://successbc.ca/event/information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-2025-01-14/2025-04-08/
 Active Career Connect & Engagement Project for Internationally Educated Health Professionals (ACCEP-IEHP),2025-05-20 10:00:00 - 2025-05-20 11:00:00,"Subsidized Work Experience Individualized Accreditation and Career Planning Career & Employment Readiness Training Canadian Workplace Culture & Equity, Diversity & Inclusion (EDI) Workshops Mental Health and Wellness Sessions One-on-One Support and Guidance Mentorship Opportunities",Online Webinar,Not Available,https://successbc.ca/event/information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-2025-01-14/2025-05-20/
"Shake Your Future, Saturdays and Sundays in March (Dixion Hall Employment Services)",2025-03-08,"Shake Your Future is a free-training program to help you start a successful career as a professional bartender. Don’t wait for an opportunity. Create it! Deadline to apply is February 18, 2025, at 11:59 pm",Not Available,Not Available,https://tropicanacommunity.org/calendar-of-events/
The Roses That Grow from Concrete - Youth Gangs and Gun Violence Symposium,"2023-02-19 08:30:00-2023-02-19 09:00:00, 2023-02-19 09:00:00-2023-02-19 17:00:00","On behalf of Victim Services of Durham Region, Child & Youth Advocacy Centre, Region of Durham, and UOIT, we are pleased to invite you to the 2025 Youth Gangs and Gun Violence Symposium.  Tupac Shakur, a well know rapper who also died by gun violence once wrote a poem entitled The Rosses that Grew from Concrete. In this poem he argues that like a rose growing from concrete marginalized youth, even with their gifts are continuously viewed as ""broken"", ""sick"" and problematice. Such narratives about racialized/marginalized and Indigenous youth have led to not only stigmatization (criminal gang members), but control the so-called problem or threat. However, critical scholars including those with lived experience in the streets/gangs have argued that the narrative that has been created about gang/gang violence is not only inaccurate, but also inclomplete. As such the policies that have been designed to mitigate the issue, including criminal justice responses, have failed these youth.  This symposium seeks to address the following questions:  What is a gang? Why do youth join gangs? What are the mental health implications of gang membership and violence? How do youth survive/navigate the streets? How do youth exit gangs or a street life? What can practioners do?","Regent Theatre Ontario Tech  50 King Street East Oshawa, ON L1H 1B3 Canada",Free,https://www.eventbrite.ca/e/the-roses-that-grow-from-concrete-youth-gangs-and-gun-violence-symposium-tickets-1228160092899?aff=oddtdtcreator
BYS x Sheridan Presents Empowering Futures -  Black Girls in Trade Summit,2025-02-22,"Get ready for an exciting and empowering experience at the Empowering Futures: Girls in Trades Summit!   This interactive event introduces Black girls in Grades 8-12 to skilled trades. Parents can join but are not required; youth may attend independently.  Packed with hands-on activities, inspiring stories from successful Black women in trades, and opportunities to explore careers you may never have considered, this summit is designed to spark curiosity, break down stereotypes, and open up a whole new world of possibilities. ","Sheridan College (Davis Campus - Magna Building) 7899 McLaughlin Rd Brampton, ON",Not Available,https://docs.google.com/forms/d/e/1FAIpQLSdvGrvtGZb9bHX6itQxcBUjDklfiG_JSFnbsw55k5fqDXYpew/viewform
Skills For Change Spotlight Series,2025-02-25 21:00:00 - 2025-02-25 22:00:00,"Join us for the Skills for Change Spotlight Series, a virtual panel discussion facilitated by CEO Surranna Sandy, where we bring together experts and advocates to discuss pressing issues impacting equity-seeking communities.    This session, in alignment with Black History Month, will focus on Gender Equity and Intersectional Challenges—exploring the barriers faced by Black women, trans, and nonbinary individuals in achieving representation and economic security. Despite progress, these communities continue to experience workplace discrimination, wage gaps, economic inequality, and heightened vulnerability to gender-based violence.    Key Discussion Points:    ✔️ Workplace Discrimination: The impact of bias, underrepresentation in leadership, and barriers to career advancement.  ✔️ Economic Inequality: Pay gaps, employment challenges, and the overrepresentation of Black women in precarious jobs.  ✔️ Gender-Based Violence: The disproportionate risks faced by Black women, trans, and nonbinary individuals and the need for systemic support.  ✔️ Pathways to Change: How organizations, policymakers, and communities can drive real solutions for inclusion and equity.    As an organization committed to empowering underrepresented groups, Skills for Change aims to foster meaningful conversations that lead to tangible action.    🎟️ Register now to be part of this critical conversation!",Zoom Online,Free,https://www.eventbrite.ca/e/skills-for-change-spotlight-series-tickets-1237767759689?aff=oddtdtcreator
Community Day,2023-02-12 09:00:00 - 2023-02-12 12:00:00,"Toronto Humane Society’s monthly Community Day is happening on Wednesday, February 12th! 🐾  This event is dedicated to helping community members in need get essential pet supplies like food, toys, beds, clothing, and more to keep pets and families together. If you need assistance, come by 11 River Street between 9:00am and 12:00pm. Supplies will be distributed on a first-come, first-served basis until we run out. 💙🐶🐱","oronto Humane Society 11 River Street Toronto, ON M5A 4C2",Not Available,https://www.torontohumanesociety.com/event/community-day-27/
Community Day,2023-05-14 09:00:00 - 2023-05-14 12:00:00,"Community Day May 14 @ 9:00 am - 12:00 pm  Toronto Humane Society’s monthly Community Day is happening on Wednesday, May 14th! 🐾  This event is dedicated to helping community members in need get essential pet supplies like food, toys, beds, clothing, and more to keep pets and families together. If you need assistance, come by 11 River Street between 9:00am and 12:00pm. Supplies will be distributed on a first-come, first-served basis until we run out. 💙🐶🐱","Toronto Humane Society 11 River Street Toronto, ON M5A 4C2",Not Available,https://www.torontohumanesociety.com/event/community-day-33/
Community Day,2022-05-28 09:00:00 - 2022-05-28 12:00:00,"Toronto Humane Society’s monthly Community Day is happening on Wednesday, May 28th! 🐾  This event is dedicated to helping community members in need get essential pet supplies like food, toys, beds, clothing, and more to keep pets and families together. If you need assistance, come by 11 River Street between 9:00am and 12:00pm. Supplies will be distributed on a first-come, first-served basis until we run out. 💙🐶🐱","Toronto Humane Society 11 River Street Toronto, ON M5A 4C2",Not Available,https://www.torontohumanesociety.com/event/community-day-34/
Community Day,2023-04-09 09:00:00 - 2023-04-09 12:00:00,"Toronto Humane Society’s monthly Community Day is happening on Wednesday, April 9th! 🐾  This event is dedicated to helping community members in need get essential pet supplies like food, toys, beds, clothing, and more to keep pets and families together. If you need assistance, come by 11 River Street between 9:00am and 12:00pm. Supplies will be distributed on a first-come, first-served basis until we run out. 💙🐶🐱  Read more about our Community Day program here: Community Day (torontohumanesociety.com)","Toronto Humane Society 11 River Street Toronto, ON M5A 4C2",Not Available,https://www.torontohumanesociety.com/event/community-day-31/
Community Day,2023-04-23 09:00:00 - 2023-04-23 12:00:00,"Toronto Humane Society’s monthly Community Day is happening on Wednesday, April 23rd! 🐾  This event is dedicated to helping community members in need get essential pet supplies like food, toys, beds, clothing, and more to keep pets and families together. If you need assistance, come by 11 River Street between 9:00am and 12:00pm. Supplies will be distributed on a first-come, first-served basis until we run out. 💙🐶🐱","Toronto Humane Society 11 River Street Toronto, ON M5A 4C2",Not Available,https://www.torontohumanesociety.com/event/community-day-32/
Community Day,2023-02-26 09:00:00 - 2023-02-26 12:00:00,"Toronto Humane Society’s monthly Community Day is happening on Wednesday, February 26th! 🐾  This event is dedicated to helping community members in need get essential pet supplies like food, toys, beds, clothing, and more to keep pets and families together. If you need assistance, come by 11 River Street between 9:00am and 12:00pm. Supplies will be distributed on a first-come, first-served basis until we run out. 💙🐶🐱","Toronto Humane Society 11 River Street Toronto, ON M5A 4C2",Not Available,https://www.torontohumanesociety.com/event/community-day-28/
Community Day,2023-03-12 09:00:00 - 2023-03-12 12:00:00,"Toronto Humane Society’s monthly Community Day is happening on Wednesday, March 12th! 🐾  This event is dedicated to helping community members in need get essential pet supplies like food, toys, beds, clothing, and more to keep pets and families together. If you need assistance, come by 11 River Street between 9:00am and 12:00pm. Supplies will be distributed on a first-come, first-served basis until we run out. 💙🐶🐱","Toronto Humane Society 11 River Street Toronto, ON M5A 4C2",Not Available,https://www.torontohumanesociety.com/event/community-day-29/
Community Day,2023-03-26 09:00:00 - 2023-03-26 12:00:00,"Toronto Humane Society’s monthly Community Day is happening on Wednesday, March 26th! 🐾  This event is dedicated to helping community members in need get essential pet supplies like food, toys, beds, clothing, and more to keep pets and families together. If you need assistance, come by 11 River Street between 9:00am and 12:00pm. Supplies will be distributed on a first-come, first-served basis until we run out. 💙🐶🐱","Toronto Humane Society 11 River Street Toronto, ON M5A 4C2",Not Available,https://www.torontohumanesociety.com/event/community-day-30/
A National Caregiving Strategy for Canada,2025-02-19 23:00:00-,"Caregiving touches the lives of millions of Canadians, yet it remains overlooked in public policy. Caregivers—both family members and professionals—face mounting challenges that demand urgent solutions.  The Canadian Centre for Caregiving Excellence (CCCE) is leading the way with its groundbreaking National Caregiving Strategy, co-created with caregivers, care providers, researchers, and health leaders from across the country. This strategy presents practical, transformative solutions to Canada’s caregiving crisis.  Join us for an inspiring and thought-provoking session where you’ll: • Gain insights into the components of the National Caregiving Strategy. • Hear from caregivers who shaped its development. • Learn how you can join our movement to make Canada the greatest place in the world to give and receive care.  Whether you’re a caregiver, policymaker, or advocate, this is your chance to help transform caregiving in Canada. Let’s work together to build a future where care is valued, supported, and celebrated.",Zoom Webinar,Not Available,https://azrielifoundation.zoom.us/webinar/register/WN_glG8MSLRRMWMR7g0MeOUog#/registration
Call for Interest: 2025 Workshop – Mothers’ Return to Work After Childbirth: Mental Health and Family Well-Being,2025-05-15,"Research shows that mothers’ earnings stagnate and often decrease following childbirth, leading to a large and growing gender pay gap. This is often referred to as the “motherhood penalty”. In response to this, considerable work has focused on policies which may facilitate the return of mothers to the workplace. However, knowledge remains scarce regarding the implications of the timing of this return on maternal mental health and on children’s development.    In a research project funded by the Vanier Institute of the Family, we seek to address this gap. In this context, we are organizing an workshop looking at various family structures, Indigenous parents, racialized parents, etc. If you are interested, please see the call for interest for more information.  At this stage, we are looking for individuals and organizations interested in participating in the workshop. These may include academic and non-academic researchers, policy makers, practitioners, etc. Individuals who wish to attend but not necessarily present may also contact us to receive updates.   Workshop Objectives:   Knowledge mobilization. Mothers’ return to work and maternal mental health are often considered separately in research and policy spaces. Our first objective is to address this; namely, to:  a) Bring together experts from various domains, including fields that have done more to bridge the gap between these two issues; and    b) Help further the conversation around the intersection of these topics.   Stakeholder engagement. With the expansion of affordable child care, the current policy context is a great opportunity for researchers to engage with policy makers and practitioners around:  a) What works best for families; and    b) How the expansion’s success could or should be evaluated going forward.   Conversation around data challenges and opportunities. Despite advances, important data gaps continue to restrict our ability to answer policy-relevant questions in this space. Our third objective is to engage with others to:  a) Identify the various data limitations individuals and organizations are facing; and   b) Discuss how existing data may be leveraged to circumvent some of these limitations.   Tentative Date and Location: The workshop will be held in Ottawa in the spring of 2025: May 15, 2025.   To express interest in participating in or attending the workshop, or for additional information, please email Dr. Simard-Duplain at gaelle.simardduplain@carleton.ca.    Organizers:   Dr. Tímea Laura Molnár, Assistant Professor, Central European University   Dr. Gaëlle Simard-Duplain, Assistant Professor, Carleton University   With financial and organizational support from The Vanier Institute of the Family ",Ottawa,Not Available,https://vanierinstitute.ca/news-item/call-for-interest-2025-workshop-mothers-return-to-work-after-childbirth-mental-health-and-family-well-being/
The Teresa Group,2025-02-22 13:30:00 - 2025-02-22 16:30:00,Lean About black history enjoy crafts dance and drumming.,Not Available,Not Available,https://teresagroup.ca/
Love Positive Women,2025-02-13 14:00:00-17:00:00,Not Available,"355 Church Street , 2nd Floor",Not Available,https://teresagroup.ca/
Power Art Group,2025-02-06 14:00:00-2025-03-27 17:00:00,Not Available,"355 Church Street , 2nd Floow",Not Available,https://teresagroup.ca/
Lunar Lore,2025-02-15 - 2025-04-26,"Lunar Lore combines the work of Hanna Yokozawa Farquharson (Saltcoats), Savannah Holt (Saskatoon), and Zoë Schneider (Regina) in an exhibition that bathes the viewer in the full embrace of the moon. Fibre, ceramics, and sculpture illuminate the varied ways these artists approach the moon as inspiration. Working with themes of cyclicality, time, consistency, and ritual, Lunar Lore offers a journey through the many ways we know the moon, speaking to its universality of themes.  Cyclicality, circles, and spheres are central to the flow of the exhibition, encouraging the viewer to succumb to the natural pull of the lunar influence. Lunar Lore invites appreciation for fine craft, stimulating ideas, and a warm embrace, making for a unique yet inviting viewer experience.","Savannah Holt, Zoë Schneider, Hanna Yokozawa Farquharson",Not Available,https://saskcraftcouncil.org/exhibitions/lunar-lore/
Run4Lighthouse 2025,2025-05-31 08:30:00-,"Run4Lighthouse is our largest annual fundraiser to help ensure our services remain free for families who need them, so no child has to grieve alone. Children, youth and their families who are grieving the death of a family member, can come to Lighthouse to find a sense of belonging, connection, and understanding from others experiencing a similar loss.  For event sponsorship opportunities, please contact Angela at amallard@lighthousegriefsupport.org","Spencer Smith Park 1400 Lakeshore Rd., Burlington, ON L7S 1B3 Burlington",Not Available,https://lighthousegriefsupport.org/events/run4lighthouse-2025/
National myeloproliferative neoplasms (MPN) conference,2025-02-25 - 2025-02-27,"Focus on MPN: PV, ET and MF",Online Webibar,Not Available,https://www.bloodcancers.ca/events/national-myeloproliferative-neoplasms-mpn-conference
Evolution of therapies for myelofibrosis (MF): From palliation to disease modification,2025-02-25 16:00:00 - 2025-02-25 17:00:00,"Myelofibrosis (MF), a form of myeloproliferative neoplasm (MPN), is a rare cancer where the bone marrow makes too many of one kind of blood cell. In MF, the abnormal cells cause normal bone marrow to be replaced by scar tissue. Over time, the fibrous scar tissue makes it harder for the bone marrow to produce normal blood cells. Fortunately, research into NMPs has meant that we are seeing an evolution in treatments and management.  In this 1-hour live webcast, Dr. Vikas Gupta, Hematologist at the Princess Margaret Cancer Centre in Toronto, will review MF and the evolution in diagnosis, treatment options and aspects of follow-up care. ",Online Webinar,Not Available,https://www.bloodcancers.ca/events/evolution-therapies-myelofibrosis-mf-palliation-disease-modification
"Understanding essential thrombocythemia (ET): Diagnosis, treatments and follow-up care",2025-02-26 16:00:00 - 2025-02-26 17:00:00,"Essential thrombocythemia (ET) is a type of myeloproliferative neoplasm (MPN). People with ET have too many platelets, a type of blood cell. Too many platelets can result in a blood clot (thrombosis) forming in a blood vessel.  In this 1-hour webcast, Dr. Lynda Foltz, University of British Columbia, will review this type of MPN, diagnosis, treatment options and aspects of follow-up care.",Online Webinar,Not Available,https://www.bloodcancers.ca/events/understanding-essential-thrombocythemia-et-diagnosis-treatments-and-follow-care
"Understanding polycythemia vera (PV): Diagnosis, treatments and follow-up care",2025-02-27 13:00:00 - 2025-02-27 14:00:00,"Polycythemia vera (PV) is a type of myeloproliferative neoplasm (MPN). This group of blood cancers features too many blood cells of a particular type made in the bone marrow. MPNs begin with one or more changes to the DNA of a single stem cell in the bone marrow. These changes cause the stem cell to create more and more abnormal stem cells.   In this 1-hour live webcast, Dr. Sonia Cerquozzi, hematologist at the Tom Baker Cancer Center and Peter Lougheed Centre in Calgary, will review this type of MPN, diagnosis, treatment options and aspects of follow-up care. ",Online Webinar,Not Available,http://bloodcancers.ca/events/understanding-polycythemia-vera-pv-diagnosis-treatments-and-follow-care
Back by Popular Demand: An Evening with Jane Goodall,2025-04-14,"Are you ready to spend an extraordinary evening with the one and only Dr. Jane Goodall? By popular demand, the iconic conservationist is returning to Vancouver’s Queen Elizabeth Theatre on April 14th, 2025. Make sure you get your tickets before they’re gone – sign up for presale access now!","Queen Elizabeth Theatre Vancouver, British Columbia",95,https://janegoodall.ca/what-we-do/events-and-bookings/vancouver2025/
Paws for Laughs,2023-03-27 19:00:00-21:00:00,"Join in on the fun and laugh your tail off at the 6th Annual Paws For Laughs comedy show Presented by Clean & Tidy.  This two-night event is the purr-fect way to support your local Humane Society while enjoying a fun night out on the town! General Admission tickets are $50.00/person, and if you’re looking to enhance your experience, VIP tickets are available for $80.00/person. (VIP Tickets include front row seats, a drink ticket and in seat service if you open a tab).  This year’s comedians, Freddy Proia, Allie Pearse, and Juliana Rodrigues will be performing both nights, and will surely have you howling all night!","Apollo Cinema (141 Ontario St N, Kitchener)",50,https://kwsphumane.ca/events/paws-for-laughs
Ingenious+ 2025,2025-02-13 00:25:00-,"Submissions are now open for Ingenious+!    Ingenious+ gives young changemakers a chance to start realizing their ideas through financial support, learning opportunities and mentorship from leading Canadian innovators!  Categories include:      🤝 Community Engagement  🌍 Climate & Environment  📣 Equity & Inclusion  💚 Health & Well-being  🚀 Technology & Entrepreneurship    Ingenious+ is empowering young Canadians aged 14-18 with the chance to win up to $10,000, along with networking opportunities and mentorship, to bring their ideas to life.  The deadline to apply is February 28. ",Canada,Free,https://youthscience.ca/for-students/youth-stem-opportunities/
TC-LIYSF 2025,2025-02-13,"The London International Youth Science Forum (LIYSF) offers a two-week science summer camp in the UK, held both online and in-person, at Imperial College London & The Royal Geographical Society. Each year, 500 students aged 16-21 years old from 70 countries enjoy the 15-day STEM summer camp, with lectures and demonstrations from leading scientists, scientific visits to world-class laboratories and scientific universities, combined with international cultural interaction.  The in-person LIYSF fee, which includes accommodation, meals and the two-week program is £3,295 GBP (approximately CAD$5,900) plus return airfare, which you arrange yourself. Students can also participate in LIYSF virtually. The virtual LIYSF fee, which includes on-demand access to view content throughout the event including main lecture demonstrations and select scientific visit content, as well as online networking and live chat features, is £325.00 GBP per student.  The LIYSF organizing committee is offering Canadian students a £150 discount per student in-person attendees, and a £50 discount for virtual attendees.","London, UK","5,900",https://youthscience.ca/for-students/youth-stem-opportunities/
Time4Change Online Auction,2025-03-04 12:00:00-2025-03-22 16:00:00,"Filled with works of art from activist artists and supporting artists within our community, all proceeds will go towards supporting the wrap-around supports and programming at YWS.The silent auction will close during the final T4C Showcase at Neilson Park Creative Centre where guests will be able to take home their winning bids upon auction closing.   Link to view auction coming soon!",Online,Not Available,https://yws.on.ca/time4change/
Time4Change Art Activism Gallery,2025-03-04 - 2025-03-22,Open to the public! Free of charge during regular Neilson Park Creative Centre hours of operation. ,"Neilson Park Creative Centre / 56 Neilson Drive, Etobicoke, ON.",Not Available,Not Available
Time4Change Showcase,2025-03-22 14:00:00 - 16:00:00,"Join us for the Time4Change Showcase, an afternoon of art, activism, and community!",Neilson Park Creative Centre,10,https://yws.on.ca/time4change/
